,abbreviation,expansion,whole_set
548,baso,basophil,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
549,baso,basophils,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
550,basoab,absolute basophil count,"['absolute basophil count', 'basoab']"
551,basore,basophils,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
552,basri,bath ankylosing spondylitis radiology index,"['basri', 'bath ankylosing spondylitis radiology index']"
553,bb,baby boy,"['baby boy', 'bb', 'bed bound', 'beta blocker', 'blow by']"
554,bb,bed bound,"['baby boy', 'bb', 'bed bound', 'beta blocker', 'blow by']"
555,bb,beta blocker,"['baby boy', 'bb', 'bed bound', 'beta blocker', 'blow by']"
556,bb,blow by,"['baby boy', 'bb', 'bed bound', 'beta blocker', 'blow by']"
557,bbb,bundle branch block,"['bbb', 'bundle branch block']"
558,bbbb,bilateral bundle branch block,"['bbbb', 'bilateral bundle branch block']"
559,bbs,bardet-biedl syndrome,"['bardet-biedl syndrome', 'bashful bladder syndrome', 'bbs', 'bilateral breath sounds']"
560,bbs,bashful bladder syndrome,"['bardet-biedl syndrome', 'bashful bladder syndrome', 'bbs', 'bilateral breath sounds']"
561,bbs,bilateral breath sounds,"['bardet-biedl syndrome', 'bashful bladder syndrome', 'bbs', 'bilateral breath sounds']"
562,bbtests,blood bank tests,"['bbtests', 'blood bank tests']"
563,bc,base curve,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
564,bc,because,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
565,bc,birth control,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
566,bc,blast crisis,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
567,bc,blood culture,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
568,bc,blood glucose,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
569,bc,blue cross,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
570,bc,bone conduction,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
571,bc,buffy coat,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
572,bc,cimino-brescia,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
573,bc/bs,blue cross/blue shield,"['bc/bs', 'blue cross/blue shield']"
574,bcc,basal cell carcinoma,"['basal cell carcinoma', 'bcc']"
575,bce,basal cell epithelioma,"['basal cell epithelioma', 'bce']"
576,bcg,bacille calmette guerin,"['bacille calmette guerin', 'bcg']"
577,bcm,birth control method,"['bcm', 'birth control method']"
578,bcp,birth control pills,"['bcp', 'birth control pills']"
579,bcx,blood culture,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
580,bd,behçet disease,"['bd', 'behçet disease', 'binswangers disease', 'bone density', 'bronchodilator']"
581,bd,binswanger's disease,"['bd', 'behçet disease', 'binswangers disease', 'bone density', 'bronchodilator']"
582,bd,bone density,"['bd', 'behçet disease', 'binswangers disease', 'bone density', 'bronchodilator']"
583,bd,bronchodilator,"['bd', 'behçet disease', 'binswangers disease', 'bone density', 'bronchodilator']"
584,bdr,background diabetic retinopathy,"['background diabetic retinopathy', 'bdr']"
585,bds,twice daily,"['b.d.', 'b.d.s.', 'b.i.d.', 'bds', 'bid', 'bis ind.', 'twice a day', 'twice daily']"
586,be,bacterial endocarditis,"['bacterial endocarditis', 'bae', 'barium enema', 'be', 'below elbow']"
587,be,barium enema,"['bacterial endocarditis', 'bae', 'barium enema', 'be', 'below elbow']"
588,be,below elbow,"['bacterial endocarditis', 'bae', 'barium enema', 'be', 'below elbow']"
589,beam,brain electrical activity mapping,"['beam', 'brain electrical activity mapping', 'carmustine', 'cytarabine', 'etoposide', 'machine perfusion', 'maculopapular', 'mallampati', 'mcp', 'mcp joint', 'melphalan', 'melphalan prednisone', 'metacarpal', 'metacarpophalangeal', 'metacarpophalangeal joint', 'mp', 'variable prism stereoscope', 'variegate porphyria', 'venous pressure', 'ventricular pacing', 'ventriculo-peritoneal', 'ventriculoperitoneal', 'ventriculoperitoneal shunt', 'vepesid', 'vice president', 'vp', 'vps']"
590,beam,"carmustine, etoposide, cytarabine, melphalan","['beam', 'brain electrical activity mapping', 'carmustine', 'cytarabine', 'etoposide', 'machine perfusion', 'maculopapular', 'mallampati', 'mcp', 'mcp joint', 'melphalan', 'melphalan prednisone', 'metacarpal', 'metacarpophalangeal', 'metacarpophalangeal joint', 'mp', 'variable prism stereoscope', 'variegate porphyria', 'venous pressure', 'ventricular pacing', 'ventriculo-peritoneal', 'ventriculoperitoneal', 'ventriculoperitoneal shunt', 'vepesid', 'vice president', 'vp', 'vps']"
591,beb,benign essential blepharospasm,"['beb', 'benign essential blepharospasm']"
592,bedgluc,bedside glucose,"['bedgluc', 'bedside glucose']"
593,bee,basal energy expenditure,"['basal energy expenditure', 'bee']"
594,beh,behaviorally/emotionally handicapped,"['beh', 'behaviorally/emotionally handicapped']"
595,bei,butanol extractable iodine,"['bei', 'butanol extractable iodine']"
596,bet,benign essential tremor,"['benign essential tremor', 'bet']"
597,bevn,base excess,"['base excess', 'bevn', 'c-be']"
598,bf,breastfeeding,"['bf', 'breastfeeding']"
599,bg,baby girl,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
600,bg,blood glucose,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
601,bgs,blood glucose,"['b/c', 'baby girl', 'base curve', 'bc', 'bcx', 'because', 'bg', 'bgs', 'biopsy', 'birth control', 'bl cx', 'blast crisis', 'blood culture', 'blood glucose', 'blue cross', 'bone conduction', 'bronx', 'buffy coat', 'bx', 'cimino-brescia']"
602,bh,behaviorally handicapped,"['behaviorally handicapped', 'bh']"
603,bhcg,beta human chorionic gonadotropin,"['beta human chorionic gonadotropin', 'bhcg']"
604,bi-rads,breast imaging reporting & data system,"['bi-rads', 'breast imaging reporting & data system']"
605,bib,brought in by,"['bib', 'brought in by']"
606,bib.,drink,"['bib.', 'drink']"
607,biba,brought in by ambulance,"['biba', 'brought in by ambulance']"
608,bic,bictegravir,"['bic', 'bictegravir']"
609,bid,twice a day,"['b.d.', 'b.d.s.', 'b.i.d.', 'bds', 'bid', 'bis ind.', 'twice a day', 'twice daily']"
610,bidmc,beth israel deaconess medical center,"['beth israel deaconess medical center', 'bidmc']"
611,bil,bilateral,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
612,bil,bilaterally,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
613,bilag,british isles lupus assessment group,"['bilag', 'british isles lupus assessment group']"
614,bilat,bilateral,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
615,bili,bilirubin,"['bili', 'bilirubin']"
616,bio,binocular indirect ophthalmoscopy,"['binocular indirect ophthalmoscopy', 'bio']"
617,bipap,bi-level positive airway pressure,"['bi-level positive airway pressure', 'bilevel positive airway pressure', 'bipap']"
618,bipap,bilevel positive airway pressure,"['bi-level positive airway pressure', 'bilevel positive airway pressure', 'bipap']"
619,bipd,biparietal diameter,"['biparietal diameter', 'bipd', 'bipolar disorder', 'borderline personality disorder', 'bpd', 'bronch', 'bronchopulmonary dysplasia']"
620,bis,twice,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
621,bis in 7 d.,twice a week,"['bis in 7 d.', 'twice a week']"
622,bis ind.,twice a day,"['b.d.', 'b.d.s.', 'b.i.d.', 'bds', 'bid', 'bis ind.', 'twice a day', 'twice daily']"
623,bivad,bi-ventricular assist device,"['bi-ventricular assist device', 'bivad']"
624,bj,biceps jerk,"['biceps jerk', 'bj']"
625,bjm,"bones, joints, muscles","['bjm', 'bmj', 'bones', 'joints', 'muscles']"
626,bk,BK polyomavirus,"['BK polyomavirus', 'below the knee', 'bk']"
627,bk,below the knee,"['BK polyomavirus', 'below the knee', 'bk']"
628,bka,below knee amputation,"['below knee amputation', 'below the knee amputation', 'bka']"
629,bka,below the knee amputation,"['below knee amputation', 'below the knee amputation', 'bka']"
630,bl,baseline,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
631,bl,bilateral,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
632,bl,bilaterally,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
633,bl,blood,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
634,bl,body length,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
635,bl,burkitt lymphoma,"['b', 'b cell', 'b.l', 'b/l', 'baseline', 'baso', 'basophil', 'basophils', 'basore', 'beeper', 'bil', 'bilat', 'bilateral', 'bilateral/bilaterally', 'bilaterally', 'bis', 'bl', 'black', 'bld', 'bleeding', 'blood', 'blood type b', 'body length', 'brain', 'brother', 'building', 'burkitt lymphoma', 'cult blood culture', 'for two', 'gallbladder series', 'gbs', 'group b strep', 'group b streptococcus', 'guillain-barre syndrome', 'guillain-barré syndrome', 'guillain–barré syndrome', 'guillian barre syndrome', 'hepatitis b', 'hepb', 'times 2', 'toxin b', 'twice', 'two times', 'vitamin b', 'x2']"
